code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
1,0,36447,1,1,1,10,2,4,105.0,1,1
0,2,82449,0,8,0,3,1,1,325.0,0,1
1,2,50428,0,9,4,6,2,1,160.0,0,0
1,0,61471,1,11,2,10,2,3,210.0,0,1
1,1,19500,0,4,1,4,2,4,180.0,1,0
0,0,84116,1,6,4,8,1,4,270.0,0,1
0,3,14388,0,6,0,5,0,1,165.0,1,1
0,0,70544,1,2,2,7,0,0,160.0,1,1
1,3,40540,0,0,0,2,2,1,210.0,1,1
1,3,89137,0,9,3,8,0,0,220.0,0,1
0,0,80319,1,5,4,4,2,1,330.0,0,1
0,0,21003,0,4,2,2,2,4,105.0,0,1
0,2,18658,1,6,0,4,1,3,70.0,1,0
1,3,90883,1,5,2,3,1,0,150.0,1,1
1,2,19966,1,9,1,9,0,2,80.0,0,1
1,2,15942,0,1,4,3,2,0,100.0,1,2
0,2,81388,1,6,4,8,0,0,60.0,1,0
1,0,65427,1,9,3,9,2,0,325.0,0,0
1,2,12173,1,10,2,4,0,1,270.0,0,1
0,0,54213,1,11,0,3,2,0,70.0,1,1
0,2,57413,1,5,0,5,0,4,195.0,1,1
0,1,91290,1,1,3,5,0,3,655.0,1,0
0,3,35338,0,7,3,9,0,1,240.0,1,1
1,3,74053,1,12,3,10,0,2,80.0,1,1
1,1,48768,1,8,3,9,2,3,420.0,0,0
1,2,58495,0,6,3,2,2,1,105.0,1,2
0,3,26165,1,6,0,6,2,2,390.0,0,1
0,2,33536,0,8,0,10,2,3,345.0,0,2
1,3,80394,1,6,2,0,0,4,100.0,0,1
1,1,11715,1,7,3,6,2,3,345.0,0,1
1,3,27357,1,10,4,10,0,2,585.0,1,0
1,1,75890,0,2,4,10,0,4,220.0,0,0
0,1,47069,1,0,2,1,2,2,270.0,0,1
1,0,37669,1,12,0,9,1,4,300.0,0,0
0,0,72071,0,6,0,7,1,0,360.0,0,1
0,1,12736,1,5,4,6,1,4,300.0,1,0
1,1,93411,0,11,3,8,0,4,75.0,0,1
0,1,38747,1,8,3,8,2,2,210.0,1,1
1,0,44609,0,12,0,6,2,2,135.0,0,0
0,1,78438,1,12,4,3,2,3,100.0,1,1
0,2,14355,1,7,2,7,1,2,180.0,0,1
1,0,80983,0,11,0,6,0,1,330.0,1,1
1,0,87088,0,8,1,7,0,1,240.0,1,1
1,3,50110,1,2,3,10,0,3,420.0,0,1
0,1,30309,0,10,2,1,1,3,210.0,0,0
1,1,82308,0,3,1,10,2,0,150.0,1,0
1,0,11956,1,5,3,9,1,0,210.0,1,1
1,2,40132,1,7,1,3,0,2,300.0,0,0
0,0,76639,0,5,1,10,2,2,220.0,1,1
1,2,68883,1,7,1,9,1,0,150.0,0,1
1,0,11413,1,5,3,4,1,0,100.0,1,0
0,1,22529,0,12,2,8,1,1,170.0,1,0
0,1,30120,1,4,3,6,1,0,100.0,0,0
0,3,90264,1,3,3,5,0,0,360.0,1,0
1,2,90946,0,9,4,4,0,1,80.0,0,1
1,0,16313,0,6,2,6,1,1,180.0,1,1
0,2,47561,0,9,1,6,2,3,210.0,0,0
1,2,30874,0,8,0,7,1,0,135.0,1,1
0,0,29903,1,9,1,2,0,0,150.0,0,0
0,3,19738,1,11,1,6,2,3,420.0,0,1
1,0,13596,1,2,1,4,0,2,585.0,0,1
1,3,44444,1,2,2,4,1,4,160.0,1,1
1,0,70204,0,6,2,7,0,1,300.0,0,1
0,1,19455,1,9,0,3,2,2,225.0,0,0
0,3,81102,0,2,0,8,2,3,60.0,1,0
0,2,31139,1,3,4,2,2,1,165.0,1,1
1,2,25037,1,10,2,8,0,3,80.0,1,1
1,2,17015,0,3,4,3,1,0,220.0,0,0
0,3,91352,0,3,4,0,0,1,75.0,0,1
0,1,36449,0,3,3,6,0,0,90.0,1,2
0,0,13666,1,6,2,0,2,3,160.0,0,1
0,3,79698,0,1,4,2,0,4,390.0,0,2
1,1,64000,0,10,4,10,1,4,345.0,0,0
1,2,81860,1,6,3,7,2,0,60.0,0,1
0,3,72720,0,0,3,1,2,3,655.0,1,0
0,2,93299,0,6,4,1,1,0,270.0,1,1
1,0,39519,1,2,0,9,0,1,60.0,1,1
0,3,30417,0,9,4,0,0,3,150.0,0,1
1,2,38990,0,6,3,4,0,3,70.0,0,0
0,1,93311,0,9,4,10,0,3,210.0,1,1
0,1,74344,1,5,3,2,2,0,75.0,1,1
1,3,27510,1,7,4,4,1,2,360.0,0,1
0,2,89541,1,5,3,3,2,3,80.0,1,1
1,0,40589,1,1,1,1,1,4,390.0,0,1
1,3,13063,1,10,4,8,1,2,225.0,1,1
1,2,83663,0,9,3,8,2,4,210.0,0,1
0,1,28110,0,11,1,1,1,4,60.0,1,1
0,1,30605,0,4,2,4,2,3,165.0,1,1
1,0,88251,1,10,1,9,2,0,150.0,1,0
1,0,26981,1,4,2,4,2,1,360.0,0,0
0,1,91203,0,5,0,5,1,3,345.0,1,0
1,2,81767,0,11,4,3,0,0,165.0,0,0
0,2,71808,0,0,1,0,1,2,80.0,1,1
0,0,68811,1,1,0,0,2,0,80.0,1,1
1,2,25791,1,3,1,0,0,4,130.0,0,1
0,2,39030,0,2,3,10,0,2,160.0,1,2
1,1,35462,1,10,1,1,0,2,150.0,0,0
0,0,40702,0,5,2,1,0,3,210.0,0,2
0,0,12300,0,0,1,8,0,1,240.0,1,1
1,3,33936,0,1,4,0,2,3,160.0,0,0
0,3,66287,1,8,2,7,1,4,420.0,1,1
1,2,64201,1,1,0,6,0,0,585.0,0,1
1,3,77226,0,7,4,10,1,4,165.0,1,1
1,2,15498,0,3,4,7,0,4,330.0,0,1
0,1,17773,1,7,0,0,0,2,70.0,0,2
0,3,44962,1,9,3,4,2,2,160.0,1,1
0,0,98900,0,5,2,3,2,1,360.0,1,2
1,3,32783,1,5,3,4,1,1,270.0,1,1
0,0,51206,0,2,4,8,2,1,170.0,0,1
0,2,34886,0,9,1,4,0,2,180.0,1,1
1,1,93369,0,6,2,7,1,3,330.0,0,1
1,3,42111,0,6,2,10,0,2,325.0,0,2
0,3,21259,1,12,3,2,0,3,165.0,1,0
0,0,95431,0,8,0,3,1,2,655.0,1,1
1,0,80128,0,2,2,8,1,4,90.0,0,0
0,2,18775,1,0,3,5,1,4,130.0,1,1
1,2,69705,0,2,4,9,0,0,60.0,1,0
1,0,62956,0,6,3,4,0,1,360.0,1,1
1,3,34075,1,11,0,1,1,4,220.0,0,1
0,1,54535,1,3,3,1,0,1,80.0,1,1
1,0,48433,0,5,1,8,0,4,170.0,1,1
0,3,68361,0,9,2,1,1,0,220.0,1,0
0,1,54759,0,5,3,5,2,1,330.0,0,2
0,0,46021,1,1,4,0,1,4,390.0,0,1
0,3,81385,0,2,2,8,0,3,80.0,0,1
1,3,62179,1,12,1,4,0,2,585.0,0,1
0,3,56110,1,11,4,9,1,4,345.0,1,0
0,1,80505,0,6,0,2,0,0,90.0,1,1
1,2,78907,0,9,2,2,1,1,120.0,1,1
1,2,54923,1,12,2,4,1,4,120.0,0,0
1,0,26256,0,8,3,10,1,0,160.0,1,0
0,2,58388,1,5,0,9,2,1,195.0,0,1
0,1,61524,0,5,3,6,1,4,345.0,0,2
1,0,95922,1,7,2,0,2,1,130.0,0,1
1,2,89174,1,12,4,3,1,3,270.0,1,2
0,3,51585,0,12,1,10,2,1,420.0,1,0
0,3,66048,1,10,0,5,1,4,210.0,0,1
1,2,72430,0,1,4,10,0,4,100.0,0,2
0,2,60831,1,12,1,0,1,4,220.0,1,0
1,1,61911,0,9,2,5,1,0,135.0,1,1
1,0,81233,0,11,2,6,0,4,225.0,0,1
1,1,81100,1,12,1,4,0,3,150.0,0,0
1,2,12749,0,1,4,3,1,2,165.0,1,1
0,1,40388,1,0,4,8,1,4,160.0,1,1
1,0,78507,0,3,2,4,1,1,240.0,0,1
0,2,63529,1,12,0,6,2,0,90.0,1,0
1,1,53701,1,11,1,10,1,0,130.0,1,1
1,0,77714,1,7,2,2,2,2,75.0,0,1
1,3,50720,0,6,2,5,2,0,345.0,0,1
0,3,64885,0,6,2,2,1,1,345.0,0,0
0,1,25902,0,0,3,3,0,3,105.0,1,1
0,2,13494,0,5,1,9,2,4,180.0,1,2
0,2,37157,1,8,3,6,0,1,75.0,0,1
0,2,17247,1,4,1,0,1,4,80.0,0,1
0,1,86599,1,11,4,7,0,4,390.0,1,2
1,1,93201,0,1,1,8,1,3,80.0,0,1
1,2,39544,0,11,4,0,1,2,100.0,1,1
0,0,79151,1,0,0,6,1,2,100.0,1,1
1,3,51378,0,10,4,1,2,1,420.0,1,2
0,2,16187,0,12,3,10,1,2,220.0,0,1
1,3,70343,1,4,2,2,1,0,180.0,0,0
0,0,73977,1,9,4,2,0,0,325.0,0,1
1,3,57429,1,11,2,9,0,3,120.0,0,1
1,3,57295,1,5,4,4,0,0,360.0,0,1
1,0,34083,0,3,3,2,1,0,70.0,0,1
1,0,30379,1,12,0,5,2,3,220.0,1,1
1,0,49688,1,10,3,8,2,0,75.0,1,1
1,3,64347,1,1,0,6,1,2,585.0,1,0
1,2,90877,1,2,0,0,1,4,655.0,0,1
1,0,80802,0,3,0,7,1,1,420.0,1,1
1,1,16974,0,0,3,2,0,1,70.0,1,1
0,0,33299,1,3,4,8,1,1,80.0,1,1
0,0,26933,1,7,3,0,1,3,360.0,0,1
1,0,58816,1,5,0,0,1,1,170.0,0,1
1,0,87607,1,10,2,9,1,0,135.0,1,1
0,0,43879,1,6,3,9,1,3,150.0,1,0
1,3,10010,0,7,4,8,0,1,150.0,1,1
0,1,64944,0,4,3,4,0,1,225.0,1,1
1,0,34746,0,4,4,3,0,4,120.0,1,2
0,3,95107,0,10,2,5,0,3,225.0,1,0
1,3,42283,0,10,1,5,0,3,75.0,0,0
1,3,11306,0,12,2,7,2,1,120.0,1,1
1,3,55305,1,4,4,7,0,3,345.0,1,0
0,0,76996,1,10,0,2,0,2,225.0,1,0
0,1,57337,1,9,1,1,1,0,150.0,1,0
1,3,23779,1,0,1,2,0,1,70.0,0,2
1,3,10697,0,12,2,10,0,3,210.0,1,0
0,1,18055,1,5,2,0,2,3,270.0,0,1
0,1,50754,1,3,2,6,2,2,240.0,1,1
0,1,91046,0,6,1,3,0,1,160.0,1,1
1,1,71716,0,8,4,5,2,2,360.0,1,1
1,0,89352,1,1,4,4,1,2,345.0,1,0
1,1,55498,0,2,2,6,1,2,100.0,1,0
0,3,54107,1,0,3,9,0,0,360.0,1,1
0,3,50603,0,9,2,0,2,1,325.0,0,1
0,3,83082,0,12,0,8,2,4,60.0,0,1
0,0,96773,1,4,0,5,1,2,420.0,0,1
0,3,13578,1,11,1,0,1,0,240.0,0,0
0,0,48498,0,1,3,4,0,0,160.0,0,1
0,3,60783,0,12,0,3,1,1,135.0,0,0
1,0,98424,0,0,0,0,2,1,120.0,1,1
0,3,27476,1,11,3,9,1,1,225.0,1,0
0,2,71111,1,7,2,6,0,2,390.0,1,2
1,3,36406,1,4,0,7,1,0,100.0,0,1
1,1,54475,0,11,0,10,0,2,130.0,0,1
0,1,86435,1,9,3,8,1,3,210.0,0,1
1,1,57108,1,7,2,8,2,3,160.0,1,1
1,1,28600,0,6,1,4,1,3,75.0,0,1
0,1,98136,0,4,4,3,0,2,80.0,0,0
0,0,49615,1,7,0,0,2,0,60.0,0,2
0,0,95850,0,7,3,7,2,4,160.0,1,1
0,2,95398,0,4,2,6,2,1,60.0,0,1
1,2,58466,1,12,0,4,1,1,80.0,0,2
1,2,26536,1,8,2,6,0,4,360.0,0,0
0,3,77448,1,2,3,6,1,2,80.0,1,0
0,0,45969,0,6,0,9,2,3,165.0,0,2
0,1,59550,0,8,2,0,2,4,180.0,1,1
0,2,37006,1,0,0,0,1,1,300.0,0,0
1,1,64496,0,6,0,4,0,4,655.0,1,1
0,0,73586,1,2,3,1,1,2,70.0,1,1
1,0,78393,1,4,3,9,2,0,170.0,0,1
0,0,67603,1,10,1,4,0,1,360.0,1,0
0,3,58806,1,0,0,10,0,1,300.0,0,1
1,0,84112,1,4,3,8,0,3,80.0,1,1
0,1,58229,0,12,1,2,2,2,105.0,1,1
0,2,12079,1,7,1,9,2,0,240.0,0,1
0,1,49119,0,5,0,2,1,3,225.0,0,1
0,3,43449,0,6,2,3,0,1,180.0,1,1
1,2,74606,1,5,3,9,1,0,120.0,1,1
1,3,65855,1,9,2,1,2,0,90.0,0,1
0,2,57733,0,9,2,5,0,3,135.0,0,0
0,3,24516,0,1,0,2,1,2,180.0,1,2
1,0,16567,1,11,4,10,2,1,655.0,1,1
0,3,28036,0,9,1,5,0,0,130.0,0,1
1,3,70339,1,10,0,3,1,2,90.0,1,1
0,3,83180,1,8,4,9,1,4,420.0,1,0
0,2,53054,0,9,3,3,1,3,655.0,0,1
1,2,72775,1,4,0,0,1,1,325.0,1,1
0,1,10321,1,10,3,4,0,1,655.0,0,1
0,3,11442,0,4,2,7,2,3,240.0,0,0
1,2,18739,1,9,3,5,2,4,80.0,1,0
1,3,44326,1,7,1,2,1,4,60.0,1,1
1,0,35834,0,9,3,8,0,0,300.0,1,0
0,1,48894,0,7,2,6,0,2,90.0,1,2
0,2,66614,1,0,4,5,0,2,300.0,1,1
0,3,99677,0,7,2,3,0,2,135.0,0,1
0,1,47716,1,0,3,3,1,0,345.0,1,1
0,2,10088,0,4,1,1,0,1,135.0,1,1
1,1,87509,0,12,4,2,2,0,210.0,0,1
0,0,34795,0,4,4,5,2,1,390.0,1,1
0,0,69543,0,2,2,7,1,3,420.0,1,1
1,2,11239,0,10,3,5,1,1,180.0,1,1
1,1,63036,0,6,0,4,1,4,210.0,1,0
1,0,44576,0,1,1,6,1,2,300.0,1,1
0,2,29263,1,10,4,7,0,3,170.0,0,1
1,0,37629,0,3,3,3,0,0,655.0,0,0
1,2,67240,1,10,2,8,0,4,195.0,0,0
1,1,22394,1,0,3,6,2,3,220.0,0,1
0,0,26828,0,10,0,7,1,2,345.0,1,0
0,0,49247,0,9,4,2,2,4,105.0,0,1
1,3,37616,1,4,3,0,0,3,60.0,0,1
0,2,12804,0,8,2,10,0,2,135.0,0,1
0,3,13183,1,7,3,7,1,3,170.0,0,1
1,1,55781,1,9,1,7,2,0,655.0,1,1
1,1,95574,0,9,0,3,0,1,90.0,0,0
1,2,33462,0,3,2,5,2,1,160.0,1,0
1,0,95687,0,0,0,10,2,4,165.0,0,2
1,1,19422,1,0,3,6,0,4,80.0,1,2
0,2,68841,1,1,2,0,1,0,390.0,1,2
1,3,13573,0,7,1,5,1,0,420.0,1,1
1,3,34147,1,12,2,5,0,0,345.0,0,0
1,2,46173,1,7,4,3,1,1,330.0,1,1
0,2,13380,0,9,2,5,1,3,655.0,0,1
0,0,15140,1,7,4,10,1,1,75.0,0,1
0,2,87105,0,6,2,3,0,4,80.0,0,0
1,1,36990,0,1,0,7,1,0,160.0,0,1
0,2,59877,1,7,0,2,0,0,150.0,1,1
0,2,51518,1,4,3,6,0,2,420.0,1,1
1,2,23734,0,11,3,5,0,3,195.0,1,2
1,3,16105,0,3,2,3,0,0,170.0,1,1
1,0,79952,0,0,0,6,1,2,220.0,1,1
1,2,30718,0,3,2,9,1,4,135.0,0,1
0,1,13950,0,0,4,2,2,2,60.0,0,2
1,2,24908,0,3,1,4,2,2,100.0,0,0
0,1,50105,1,6,0,0,2,2,105.0,0,1
0,2,78731,1,10,3,10,0,1,390.0,1,1
0,2,40123,1,4,3,9,1,0,180.0,0,0
1,2,77698,1,12,1,9,0,0,70.0,1,0
0,2,25584,1,12,0,10,2,2,360.0,1,1
1,3,40158,0,8,4,9,1,0,390.0,0,0
1,3,25637,1,10,2,0,2,0,70.0,0,0
0,3,10793,0,10,0,4,1,0,345.0,1,1
0,3,22655,1,8,3,5,2,3,345.0,0,0
1,1,22124,0,3,3,1,1,2,105.0,1,1
1,1,69004,1,9,3,8,0,3,210.0,0,1
0,3,17982,1,11,0,4,0,3,135.0,0,1
0,2,52560,1,4,2,5,2,4,100.0,1,1
1,3,99607,1,1,2,9,2,3,105.0,1,2
0,0,95559,1,4,4,9,0,3,70.0,1,1
1,2,14631,1,11,4,4,2,4,220.0,0,0
0,3,83741,1,9,2,0,2,4,360.0,0,0
1,0,99655,1,9,0,5,0,4,170.0,0,2
1,1,48304,0,9,1,7,2,0,180.0,0,0
0,3,76877,0,4,2,2,2,4,210.0,0,1
0,3,78456,1,9,2,7,0,2,170.0,1,1
1,2,36003,0,7,1,3,1,2,325.0,0,1
0,0,57492,1,6,3,0,1,0,60.0,0,0
1,1,81050,0,0,2,7,1,3,345.0,0,1
1,0,42412,0,1,0,0,0,2,225.0,1,0
1,1,88859,0,3,4,1,1,3,330.0,0,1
1,0,57471,0,4,2,9,1,0,170.0,1,0
0,3,82517,1,12,4,1,0,1,180.0,0,0
0,2,33936,0,4,2,7,0,0,225.0,1,0
0,1,48055,0,8,3,0,2,1,210.0,1,1
0,1,66407,1,10,1,7,1,2,325.0,0,1
0,1,10015,0,12,0,0,1,2,180.0,0,0
1,0,48346,1,6,4,0,0,1,210.0,0,1
1,1,34493,0,6,3,1,0,2,345.0,1,1
1,1,59353,0,12,3,5,2,3,105.0,0,1
0,0,93794,1,2,0,5,0,1,220.0,0,2
1,2,34403,1,4,3,0,0,3,160.0,1,0
1,1,25831,1,10,2,2,2,3,70.0,1,1
0,2,44105,1,12,4,3,2,4,325.0,0,1
0,2,42421,1,4,4,7,2,3,135.0,0,1
1,2,72991,1,4,4,9,0,4,180.0,0,0
0,1,19824,0,3,3,8,2,4,325.0,0,1
0,3,89655,1,9,4,0,1,0,60.0,1,1
1,3,78763,0,5,4,5,0,1,70.0,1,0
0,2,85136,0,1,3,8,1,0,225.0,1,1
0,1,66689,0,1,1,10,0,1,210.0,0,0
0,1,62747,0,1,3,3,1,2,75.0,0,1
0,3,47024,0,10,1,10,2,1,270.0,1,0
0,0,76756,0,4,3,6,1,2,160.0,1,1
0,1,23097,0,5,2,0,1,4,165.0,0,0
1,3,97269,1,12,4,3,2,4,170.0,0,1
1,3,24061,0,2,0,3,0,3,80.0,0,1
1,3,17260,0,5,2,8,0,0,420.0,0,1
0,1,24431,1,11,3,2,0,3,150.0,0,1
1,2,60825,0,0,2,0,1,4,345.0,0,1
0,0,28720,1,0,2,9,1,4,225.0,0,1
0,3,46985,1,0,0,0,1,0,80.0,1,1
1,0,30778,1,8,4,3,0,4,170.0,1,0
0,1,20970,0,8,4,6,0,0,165.0,1,1
0,2,48584,1,4,4,0,0,2,130.0,1,1
0,0,98903,1,0,4,0,2,4,270.0,1,0
1,2,99183,1,3,0,5,1,2,345.0,1,0
0,3,22215,0,12,2,5,2,1,585.0,1,1
0,2,47973,1,0,2,4,1,0,90.0,1,1
0,1,85874,1,3,2,7,2,0,330.0,1,0
1,3,35358,1,6,3,1,2,3,220.0,1,1
1,1,22863,0,1,4,3,2,1,60.0,1,0
0,2,42820,0,5,0,9,1,3,150.0,0,1
0,1,49195,0,1,3,4,2,1,240.0,0,0
1,1,66469,0,9,4,8,1,4,345.0,0,0
1,0,29086,1,3,3,6,1,2,170.0,0,0
1,1,10151,1,5,1,8,1,3,170.0,0,1
0,3,34126,0,8,0,8,2,0,70.0,0,1
0,2,48027,0,6,4,1,2,0,270.0,0,2
1,0,55233,0,6,3,8,2,4,120.0,1,0
